UlykkeDato,FartøyNavn,UlykkeType,Breddegrad,Lengdegrad,AntallDød,AntallSkadet
2024-11-12 10:00:00,LOVUND,Miljøskade/Forurensing,66.35,12.33333,,
2024-11-14 10:00:00,ANTARCTIC ENDURANCE,"Kontaktskade, Kaier, Broer etc",-33.016664999999996,27.899999999999995,,
2024-11-12 01:30:00,Fritidsfartøy,Arbeidsulykke/Personulykke,66.359465,12.603964999999999,1.0,0.0
2024-11-14 10:36:00,BARØY,Brann/Eksplosjon,68.3,16.08333,,
2024-10-30 13:00:00,SJØVÆR,Arbeidsulykke/Personulykke,73.716665,21.15,0.0,1.0
2024-11-13 04:24:00,HORDAFOR VII,"Kontaktskade, Kaier, Broer etc",69.55,18.83333,,
2024-11-11 13:20:00,GANN,Arbeidsulykke/Personulykke,59.78333,5.5,0.0,1.0
2024-11-12 15:00:00,SOGN,Miljøskade/Forurensing,60.516664999999996,5.3166649999999995,,
2024-11-11 01:30:00,ÅSGARD A,Miljøskade/Forurensing,64.86666499999998,6.833329999999999,,
2024-11-10 00:15:00,HAVBRYN,Arbeidsulykke/Personulykke,70.85,21.316665,0.0,1.0
2024-11-11 15:24:00,Hagland Saga,Grunnstøting,58.01666499999999,7.43333,,
2024-11-08 21:20:00,NIPØY,Hardtværskade,69.616665,18.216665,,
2024-11-08 10:10:00,HELLSKJÆR,Grunnstøting,62.93332999999999,6.999999999999999,,
2024-11-08 12:53:00,GO'VAKKER MARCIA,Annen ulykke,59.216665,10.916665,,
2024-11-07 08:20:00,HÅLØY JARL,Brann/Eksplosjon,69.75,17.166665,0.0,1.0
2024-11-10 13:20:00,WILSON NICE,Arbeidsulykke/Personulykke,38.516664999999996,-8.883329999999999,0.0,1.0
2024-11-02 16:30:00,Seigrunn,Arbeidsulykke/Personulykke,60.166664999999995,5.266664999999999,0.0,1.0
2024-11-08 07:45:00,FJORDKATT,Brann/Eksplosjon,60.516664999999996,5.25,,
2024-11-05 07:30:00,HELMER HANSSEN,Arbeidsulykke/Personulykke,68.23333,14.566664999999999,0.0,1.0
2024-11-05 11:30:00,TAMINA SPIRIT,Arbeidsulykke/Personulykke,62.916665,7.749999999999999,0.0,1.0
2024-11-05 14:00:00,KVITTIND,"Kontaktskade, Kaier, Broer etc",69.3,17.666665,,
